index,title,colors,color_hex,subjects,painting_url,image
1,Auroral Night's Reflection,"Alizarin Crimson, Bright Red, Cadmium Yellow, Phthalo Blue, Titanium White, Indian Yellow, Prussian Blue, Sap Green, Van Dyke Brown","#4E1500, #DB0000, #FFEC00, #0C0040, #FFFFFF, #FFB800, #021E44, #0A3410, #221B15","Trees, Galaxy, Snow, River, Sunset, Stars, Shooting Star, Sun",https://firebasestorage.googleapis.com/v0/b/happy-little-galaxies.appspot.com/o/Auroral%20Night_s%20Reflection.PNG?alt=media&token=2fb41f3b-6a6b-482d-8fa5-f5f8a5e23f14,
2,Celestial Dance at Seaside Eve,"Alizarin Crimson, Bright Red, Cadmium Yellow, Phthalo Green, Prussian Blue, Titanium White, Van Dyke Brown, Indian Yellow, Phthalo Blue, Black Gesso","#4E1500, #DB0000, #FFEC00, #102E3C, #021E44, #FFFFFF, #221B15, #FFB800, #0C0040, #000000","Moon, Sky, Arch, Waves, Beach, Cliffs, Trees, Sun",https://firebasestorage.googleapis.com/v0/b/happy-little-galaxies.appspot.com/o/Celestial%20Dance%20at%20Seaside%20Eve.png?alt=media&token=e451c2d7-8dd3-432f-b249-2a6ca91004a9,
3,Celestial Harmony,"Alizarin Crimson, Bright Red, Cadmium Yellow,  Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Black Gesso, Indian Yellow, Phthalo Blue, Yellow Ochre, Dark Sienna","#4e1500, #db0000, #ffec00, #102e3c, #021e44, #0a3410, #ffffff, #221b15, #000000, #ffb800, #0c0040, #c79b00,","Flowers, Mountains, River, Trees, Stars, grass",https://firebasestorage.googleapis.com/v0/b/happy-little-galaxies.appspot.com/o/Celestial%20Harmony.jpg?alt=media&token=e29c12c3-40a3-4138-b1b9-5f2b96aa0f4a,
4,Celestial Riverbend,"Alizarin Crimson, Cadmium Yellow, Titanium White, Phthalo Blue, Bright Red, Prussian Blue, Van Dyke Brown","#4e1500, #ffec00, #ffffff, #0c0040, #db0000, #021e44, #221b15","Spiral, Trees, River, Mountains, Stars",https://firebasestorage.googleapis.com/v0/b/happy-little-galaxies.appspot.com/o/Celestial%20Riverbend.jpg?alt=media&token=df61e33a-16fb-4a02-ac5b-b458e19f5400,
5,Cosmic Contemplation in the Crimson Canyons,"Alizarin Crimson, Bright Red, Cadmium Yellow, Phthalo Green, Prussian Blue, Titanium White, Van Dyke Brown, Indian Yellow, Phthalo Blue, Black Gesso","#4E1500, #DB0000, #FFEC00, #102E3C, #021E44, #FFFFFF, #221B15, #FFB800, #0C0040, #000000","Astronauts, Mountains, Desert, Planets, Sky, Bushes, Sand",https://firebasestorage.googleapis.com/v0/b/happy-little-galaxies.appspot.com/o/Cosmic%20Contemplation%20in%20the%20Crimson%20Canyons.jpg?alt=media&token=84297763-2ef3-4cc4-9437-301405557b6e,
6,Cosmic Dance,"Alizarin Crimson, Cadmium Yellow, Titanium White, Phthalo Blue, Bright Red, Prussian Blue, Indian Yellow","#4e1500, #ffec00, #ffffff, #0c0040, #db0000, #021e44, #ffb800","Planets, Stars, Galaxies, Trees, Mountains, Meadow",https://firebasestorage.googleapis.com/v0/b/happy-little-galaxies.appspot.com/o/Cosmic%20Dance.png?alt=media&token=774f593d-5b5a-46e2-9395-29646bb79b84,
7,Cosmic Dusk Over the Peaks,"Cadmium Yellow, Phthalo Blue, Titanium White, Black Gesso, Indian Yellow, Prussian Blue","#FFEC00, #0C0040, #FFFFFF, #000000, #FFB800, #021E44","Mountains, Sky, Planets, Stars, Trees, Sunset, Lake, Earth, Nebula, Clouds",https://firebasestorage.googleapis.com/v0/b/happy-little-galaxies.appspot.com/o/Cosmic%20Dusk%20Over%20the%20Peaks.PNG?alt=media&token=32abf579-921b-4633-afab-d131cb2472e9,
8,Cosmic Reflections,"Alizarin Crimson, Cadmium Yellow, Titanium White, Phthalo Blue, Bright Red, Prussian Blue, Sap Green","#4e1500, #ffec00, #ffffff, #0c0040, #db0000, #021e44, #0a3410","Planets, Stars, Trees, Cabin, River, Mountains",https://firebasestorage.googleapis.com/v0/b/happy-little-galaxies.appspot.com/o/Cosmic%20Reflections.png?alt=media&token=cc58465d-3162-4b8c-ad3b-29f457ebca26,
9,Desert Cosmos,"Alizarin Crimson,
Bright Red,
Cadmium Yellow,
Titanium White,
Van Dyke Brown,
Indian Yellow,
Phthalo Blue","#4e1500,
#db0000,
#ffec00,
#ffffff,
#221b15,
#ffb800,
#0c0040","Galaxy,
Trees,
Cactus,
Buttes,
Path,",https://firebasestorage.googleapis.com/v0/b/happy-little-galaxies.appspot.com/o/Desert%20Cosmos.png?alt=media&token=0a36060c-ef88-4dbb-8ca1-9fc074298800,
10,Expedition to the Crimson Dunes,"Alizarin Crimson, Bright Red, Cadmium Yellow, Phthalo Green, Prussian Blue, Titanium White, Van Dyke Brown, Indian Yellow, Phthalo Blue, Black Gesso","#4E1500, #DB0000, #FFEC00, #102E3C, #021E44, #FFFFFF, #221B15, #FFB800, #0C0040, #000000","Planets, Mountains, Car, Astronauts, Rocks, Sky, Sand, Desert, Bushes",https://firebasestorage.googleapis.com/v0/b/happy-little-galaxies.appspot.com/o/Expedition%20to%20the%20Crimson%20Dunes.jpg?alt=media&token=9008f85f-b03f-4e7e-b53b-40cdb25e1d0b,
